"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","effort","income","cy","num-workers","final-demands","utility-exponents","industry","production-inputs","product","ql","output","xe","z","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c","ef","base-color","cq","ce","du","input-quantities","nature-quantities","labor-quantities","input-exponents","nature-exponents","labor-exponents","k","s","a","debug-a","debug-k","debug-c","debug-o","debug-s","debug-cdx-1","debug-cdx-2","debug-cdx-3","debug-price-1","debug-price-2","debug-price-3"
"0","45","29","-16","12.950838032319478","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","12.950838032319478","10","[0 0 0 0 0]","[0.1405350051197347 0.24012723273335457 0.13060457354838528 0.15357560280503046]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","45","124","-15.673267326732674","14.32327177538915","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.32327177538915","10","[0 0 0 0 0]","[0.15791209661311933 0.13324513608219407 0.21688324496659753 0.221522254379115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","45","36","-15.346534653465346","10.70516423640062","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","10.70516423640062","10","[0 0 0 0 0]","[0.14524223701543365 0.24362212674933253 0.13243113445464727 0.2358124366716824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","45","290","-15.01980198019802","8.215899615276115","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","8.215899615276115","10","[0 0 0 0 0]","[0.23250349292292788 0.19235388232722592 0.19410274730560914 0.23025386087283276]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","45","216","-14.693069306930694","13.30594365424216","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","13.30594365424216","10","[0 0 0 0 0]","[0.2045363263566221 0.22160630371034923 0.21321026623179407 0.15477636453289]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","45","64","-14.366336633663366","12.316888711508327","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","12.316888711508327","10","[0 0 0 0 0]","[0.15504445299370542 0.1967773856193765 0.16862345002433918 0.1321205501919057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","45","251","-14.03960396039604","11.192135587388549","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","11.192135587388549","10","[0 0 0 0 0]","[0.23343968200824994 0.22327027912546007 0.15683784517232988 0.1352818638174163]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","45","270","-13.712871287128714","13.982284184327778","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","13.982284184327778","10","[0 0 0 0 0]","[0.23585524141512168 0.18940208235798006 0.1583859444649024 0.2350429345449601]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","45","340","-13.386138613861386","11.75153068543779","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","11.75153068543779","10","[0 0 0 0 0]","[0.18621245048839047 0.23617184499764923 0.23431378257794747 0.23097374711986163]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","45","98","-13.05940594059406","14.778150281910897","""house""","""""","9.9","{breed ccs}","false","1.5","1","""up""","1","5000","14.778150281910897","10","[0 0 0 0 0]","[0.1459979116082381 0.24659844937881847 0.2209343578589923 0.2280297301076883]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
